raceId,driverId,grid,finish,statusId,dnf,num_stops,first_stop_lap,avg_stop_time,total_stop_time,year,position_improved,position_change
846,816,21,15,13,1,2.0,33.0,27.0205,54.041,2011,1,6
846,24,23,16,13,1,1.0,32.0,28.298,28.298,2011,1,7
846,39,22,17,14,1,2.0,25.0,34.121,68.242,2011,1,5
846,813,8,18,3,1,2.0,25.0,26.0775,52.155,2011,0,-10
846,808,10,19,4,1,1.0,28.0,28.856,28.856,2011,0,-9
846,153,19,20,4,1,2.0,29.0,26.7285,53.457,2011,0,-1
846,13,6,21,3,1,1.0,26.0,26.615,26.615,2011,0,-15
846,30,5,22,5,1,1.0,12.0,35.084,35.084,2011,0,-17
846,10,20,23,22,1,1.0,22.0,26.827,26.827,2011,0,-3
847,18,7,1,1,0,6.0,8.0,23.511166666666668,141.067,2011,1,6
847,20,1,2,1,0,3.0,20.0,23.118666666666666,69.356,2011,0,-1
847,17,4,3,1,0,3.0,20.0,24.906000000000002,74.718,2011,1,1
847,30,8,4,1,0,4.0,18.0,23.59225,94.369,2011,1,4
847,808,10,5,1,0,2.0,36.0,23.9805,47.961,2011,1,5
847,13,3,6,1,0,4.0,21.0,24.633499999999998,98.53399999999999,2011,0,-3
847,155,13,7,1,0,2.0,36.0,24.1525,48.305,2011,1,6
847,153,24,8,1,0,3.0,19.0,24.74866666666667,74.24600000000001,2011,1,16
847,22,16,9,1,0,4.0,15.0,24.0285,96.114,2011,1,7
847,67,15,10,1,0,4.0,17.0,24.78225,99.129,2011,1,5
847,3,6,11,1,0,4.0,17.0,22.882,91.528,2011,0,-5
847,37,17,12,1,0,2.0,35.0,27.1635,54.327,2011,1,5
847,24,20,13,11,1,3.0,9.0,31.792333333333332,95.377,2011,1,7
847,39,22,14,11,1,2.0,37.0,29.3275,58.655,2011,1,8
847,816,23,15,11,1,5.0,17.0,24.909399999999998,124.547,2011,1,8
847,10,21,16,11,1,2.0,34.0,24.752000000000002,49.504000000000005,2011,1,5
847,15,18,17,11,1,3.0,19.0,33.385333333333335,100.156,2011,1,1
847,814,11,18,3,1,4.0,35.0,22.194,88.776,2011,0,-7
847,813,12,19,31,1,5.0,17.0,25.501600000000003,127.50800000000001,2011,0,-7
847,2,9,20,3,1,2.0,35.0,23.238500000000002,46.477000000000004,2011,0,-11
847,16,14,21,3,1,4.0,16.0,23.49725,93.989,2011,0,-7
847,4,2,22,4,1,3.0,17.0,25.456666666666667,76.37,2011,0,-20
847,5,19,23,7,1,1.0,19.0,44.037,44.037,2011,0,-4
848,20,1,1,1,0,3.0,14.0,20.592666666666666,61.778,2011,0,0
848,4,4,2,1,0,3.0,14.0,20.721333333333334,62.164,2011,1,2
848,17,2,3,1,0,3.0,13.0,20.383666666666667,61.150999999999996,2011,0,-1
848,1,3,4,1,0,3.0,12.0,20.529,61.587,2011,0,-1
