raceId,driverId,grid_cluster,finish_cluster,statusId_cluster,dnf_cluster,num_stops_cluster,first_stop_lap_cluster,avg_stop_time_cluster,total_stop_time_cluster,year_cluster,position_improved_cluster,position_change_cluster,race_length_proxy_cluster,pit_timing_ratio_cluster,avg_time_per_stop_cluster,dbscan_label,cluster,strategy,grid_class,finish_class,statusId_class,dnf_class,num_stops_class,first_stop_lap_class,avg_stop_time_class,total_stop_time_class,year_class,position_improved_class,position_change_class,race_length_proxy_class,pit_timing_ratio_class,avg_time_per_stop_class,actual,log_prob,log_pred,svm_prob,svm_pred,model_agreement
842,155,10,7,1,0,2.0,17.0,23.361,46.722,2011,1,3,22.0,0.7727272727272727,23.361,0,1,Aggressive Multi-Stop,10,7,1,0,2.0,17.0,23.361,46.722,2011,1,3,22.0,0.7727272727272727,23.361,1,0.6193958997553828,1,0.6966815697732259,1,1
842,1,2,8,1,0,4.0,12.0,23.25275,93.011,2011,0,-6,22.0,0.5454545454545454,23.25275,3,0,Early Pit Strategy,2,8,1,0,4.0,12.0,23.25275,93.011,2011,0,-6,22.0,0.5454545454545454,23.25275,0,0.2325842112284256,0,0.2256870282078685,0,1
842,30,11,9,1,0,3.0,14.0,22.354666666666663,67.064,2011,1,2,22.0,0.6363636363636364,22.354666666666663,1,1,Aggressive Multi-Stop,11,9,1,0,3.0,14.0,22.354666666666663,67.064,2011,1,2,22.0,0.6363636363636364,22.354666666666663,1,0.6217118921026301,1,0.6453724736029649,1,1
842,814,14,10,1,0,3.0,11.0,23.05633333333333,69.169,2011,1,4,22.0,0.5,23.05633333333333,1,1,Aggressive Multi-Stop,14,10,1,0,3.0,11.0,23.05633333333333,69.169,2011,1,4,22.0,0.5,23.05633333333333,1,0.6776712110214959,1,0.6820790712109422,1,1
842,16,17,11,11,1,3.0,3.0,25.429999999999996,76.28999999999999,2011,1,6,22.0,0.1363636363636363,25.429999999999996,1,1,Aggressive Multi-Stop,17,11,11,1,3.0,3.0,25.429999999999996,76.28999999999999,2011,1,6,22.0,0.1363636363636363,25.429999999999996,1,0.6307799564339651,1,0.7424822609058518,1,1
842,3,9,12,11,1,3.0,15.0,23.356666666666666,70.07,2011,0,-3,22.0,0.6818181818181818,23.356666666666666,1,0,Early Pit Strategy,9,12,11,1,3.0,15.0,23.356666666666666,70.07,2011,0,-3,22.0,0.6818181818181818,23.356666666666666,0,0.5460735700997188,1,0.5412600203987836,1,1
842,67,12,13,11,1,3.0,15.0,26.854,80.562,2011,0,-1,22.0,0.6818181818181818,26.854,1,1,Aggressive Multi-Stop,12,13,11,1,3.0,15.0,26.854,80.562,2011,0,-1,22.0,0.6818181818181818,26.854,0,0.6253774163076059,1,0.6081646162238344,1,1
842,153,13,14,11,1,2.0,16.0,23.236,46.472,2011,0,-1,22.0,0.7272727272727273,23.236,0,1,Aggressive Multi-Stop,13,14,11,1,2.0,16.0,23.236,46.472,2011,0,-1,22.0,0.7272727272727273,23.236,0,0.7157572991714667,1,0.7665523317888494,1,1
842,5,19,15,11,1,2.0,15.0,26.21,52.42,2011,1,4,22.0,0.6818181818181818,26.21,0,1,Aggressive Multi-Stop,19,15,11,1,2.0,15.0,26.21,52.42,2011,1,4,22.0,0.6818181818181818,26.21,1,0.8439210727730854,1,0.7722215595643571,1,1
842,10,21,16,12,1,2.0,17.0,24.523,49.046,2011,1,5,22.0,0.7727272727272727,24.523,0,1,Aggressive Multi-Stop,21,16,12,1,2.0,17.0,24.523,49.046,2011,1,5,22.0,0.7727272727272727,24.523,1,0.9060950331827616,1,0.7639136610885512,1,1
842,808,8,17,3,1,3.0,15.0,24.852,74.556,2011,0,-9,22.0,0.6818181818181818,24.852,1,0,Early Pit Strategy,8,17,3,1,3.0,15.0,24.852,74.556,2011,0,-9,22.0,0.6818181818181818,24.852,0,0.4854707745671415,0,0.4526228290236504,0,1
842,24,23,18,88,1,3.0,17.0,31.064000000000004,93.192,2011,1,5,22.0,0.7727272727272727,31.063999999999997,1,1,Aggressive Multi-Stop,23,18,88,1,3.0,17.0,31.064000000000004,93.192,2011,1,5,22.0,0.7727272727272727,31.063999999999997,1,0.9084220156107536,1,0.7846028770353601,1,1
842,816,22,19,3,1,2.0,17.0,25.334,50.668,2011,1,3,22.0,0.7727272727272727,25.334,0,1,Aggressive Multi-Stop,22,19,3,1,2.0,17.0,25.334,50.668,2011,1,3,22.0,0.7727272727272727,25.334,1,0.9159591491592668,1,0.7684344515386579,1,1
842,15,20,20,8,1,1.0,13.0,25.516,25.516,2011,0,0,22.0,0.5909090909090909,25.516,2,1,Aggressive Multi-Stop,20,20,8,1,1.0,13.0,25.516,25.516,2011,0,0,22.0,0.5909090909090909,25.516,0,0.8480943468261961,1,0.7794702708417333,1,1
842,815,16,21,3,1,1.0,17.0,23.597,23.597,2011,0,-5,22.0,0.7727272727272727,23.597,2,1,Aggressive Multi-Stop,16,21,3,1,1.0,17.0,23.597,23.597,2011,0,-5,22.0,0.7727272727272727,23.597,0,0.8123794765691417,1,0.7794025641452715,1,1
